PHASE,MAPE,MAE,ME,R,SAMPLES
GROUND,15.96,1.17,0.65,88.55,507532
CLIMB,5.22,2.61,2.11,96.23,992351
CRUISE,4.89,1.43,0.95,89.44,1355401
DESCENT,12.57,1.83,0.85,96.23,1567426
ALL,8.96,1.81,1.14,98.81,4422710
