PHASE,MAPE,MAE,ME,R,SAMPLES
GROUND,16.16,1.2,0.77,88.37,507532
CLIMB,6.36,3.21,2.73,95.27,992351
CRUISE,7.93,2.26,0.67,68.27,1355401
DESCENT,16.02,2.29,0.77,94.45,1567426
ALL,11.39,2.36,1.18,98.14,4422710
