PHASE,MAPE,MAE,ME,R,SAMPLES
GROUND,16.0,1.18,0.69,87.69,507532
CLIMB,6.08,3.08,2.67,95.67,992351
CRUISE,5.1,1.49,0.87,88.21,1355401
DESCENT,12.37,1.81,0.75,96.16,1567426
ALL,9.15,1.92,1.21,98.7,4422710
