PHASE,MAPE,MAE,ME,R,SAMPLES
GROUND,16.26,1.21,0.77,88.63,507532
CLIMB,5.58,2.77,2.21,95.79,992351
CRUISE,7.76,2.23,0.79,70.63,1355401
DESCENT,16.09,2.31,0.87,94.5,1567426
ALL,11.2,2.26,1.14,98.25,4422710
