PHASE,MAPE,MAE,ME,R,SAMPLES
GROUND,9.67,1.45,0.82,93.63,536840
CLIMB,2.43,1.88,0.98,98.93,1403850
CRUISE,5.14,2.14,1.45,75.6,4017801
DESCENT,14.71,3.22,2.21,96.71,1684117
ALL,7.07,2.28,1.48,99.0,7642608
