PHASE,MAPE,MAE,ME,R,SAMPLES
GROUND,9.95,1.48,0.85,93.61,536840
CLIMB,2.55,1.98,0.91,98.65,1403850
CRUISE,5.69,2.37,1.44,69.7,4017801
DESCENT,14.73,3.28,2.07,96.46,1684117
ALL,7.4,2.44,1.44,98.87,7642608
