PHASE,MAPE,MAE,ME,R,SAMPLES
GROUND,9.95,1.48,0.85,93.61,536840
CLIMB,2.23,1.74,0.73,98.82,1403850
CRUISE,5.06,2.09,1.23,77.27,4017801
DESCENT,12.66,2.77,1.74,97.38,1684117
ALL,6.56,2.13,1.22,99.1,7642608
