PHASE,MAPE,MAE,ME,R,SAMPLES
GROUND,9.67,1.45,0.82,93.63,536840
CLIMB,2.13,1.66,0.85,99.06,1403850
CRUISE,4.41,1.82,1.22,82.28,4017801
DESCENT,12.63,2.71,1.88,97.64,1684117
ALL,6.17,1.96,1.27,99.22,7642608
