PHASE,MAPE,MAE,ME,R,SAMPLES
GROUND,8.91,1.04,0.48,89.55,527344
CLIMB,4.25,2.19,-0.05,94.39,981094
CRUISE,7.19,2.21,-0.22,72.62,1536559
DESCENT,13.0,2.39,0.65,94.33,1600571
ALL,8.77,2.13,0.19,98.18,4645568
