PHASE,MAPE,MAE,ME,R,SAMPLES
GROUND,8.9,1.03,0.46,89.83,527344
CLIMB,3.42,1.72,-0.01,95.51,981094
CRUISE,3.74,1.09,0.01,89.49,1536559
DESCENT,9.58,1.79,0.69,95.87,1600571
ALL,6.27,1.46,0.29,98.74,4645568
