PHASE,MAPE,MAE,ME,R,SAMPLES
GROUND,8.86,1.03,0.47,89.83,527344
CLIMB,3.9,1.97,-0.06,94.98,981094
CRUISE,6.88,2.13,0.0,74.37,1536559
DESCENT,12.91,2.39,0.85,94.36,1600571
ALL,8.55,2.06,0.34,98.26,4645568
