PHASE,MAPE,MAE,ME,R,SAMPLES
GROUND,20.86,5.02,2.61,47.3,166859
CLIMB,3.88,3.21,-2.06,97.65,330959
CRUISE,6.69,2.53,-1.9,59.69,1545228
DESCENT,15.46,2.93,-0.93,96.97,497568
ALL,8.97,2.86,-1.44,97.3,2540614
