PHASE,MAPE,MAE,ME,R,SAMPLES
GROUND,19.47,4.91,2.89,47.31,166859
CLIMB,3.76,3.12,-2.14,97.98,330959
CRUISE,5.98,2.28,-1.71,67.63,1545228
DESCENT,13.79,2.68,-0.4,97.21,497568
ALL,8.11,2.64,-1.21,97.41,2540614
