PHASE,MAPE,MAE,ME,R,SAMPLES
GROUND,18.92,4.85,2.98,47.4,166859
CLIMB,3.53,2.96,-2.03,98.06,330959
CRUISE,5.81,2.22,-1.79,73.82,1545228
DESCENT,12.21,2.39,-0.41,97.74,497568
ALL,7.63,2.52,-1.24,97.55,2540614
