PHASE,MAPE,MAE,ME,R,SAMPLES
GROUND,20.08,4.95,2.74,47.37,166859
CLIMB,3.66,3.07,-1.99,97.75,330959
CRUISE,6.48,2.45,-1.96,67.66,1545228
DESCENT,13.7,2.62,-0.9,97.56,497568
ALL,8.42,2.73,-1.44,97.47,2540614
