PHASE,MAPE,MAE,ME,R,SAMPLES
GROUND,12.37,1.07,0.01,82.27,520454
CLIMB,2.94,1.46,-0.3,97.12,1086269
CRUISE,7.51,2.21,-0.38,70.68,1000997
DESCENT,16.93,2.57,0.54,93.9,1477306
ALL,10.32,1.99,0.02,98.33,4085026
