PHASE,MAPE,MAE,ME,R,SAMPLES
GROUND,12.37,1.07,0.01,82.27,520454
CLIMB,2.7,1.35,-0.26,97.45,1086269
CRUISE,4.92,1.45,-0.42,88.09,1000997
DESCENT,13.71,2.08,0.17,95.45,1477306
ALL,8.46,1.6,-0.11,98.75,4085026
