PHASE,MAPE,MAE,ME,R,SAMPLES
GROUND,12.27,1.06,0.04,81.94,520454
CLIMB,2.79,1.38,-0.12,97.47,1086269
CRUISE,6.79,2.03,0.08,74.85,1000997
DESCENT,16.53,2.5,0.71,94.18,1477306
ALL,9.95,1.91,0.25,98.43,4085026
