PHASE,MAPE,MAE,ME,R,SAMPLES
GROUND,12.27,1.06,0.04,81.94,520454
CLIMB,2.47,1.24,-0.03,97.92,1086269
CRUISE,4.15,1.25,-0.07,90.15,1000997
DESCENT,13.18,2.01,0.34,95.63,1477306
ALL,8.01,1.5,0.1,98.83,4085026
