PHASE,MAPE,MAE,ME,R,SAMPLES
GROUND,11.24,2.52,-0.15,94.4,21988
CLIMB,4.11,6.9,3.13,98.18,27856
CRUISE,3.87,3.46,1.99,90.63,144340
DESCENT,13.49,6.72,3.63,95.85,36920
ALL,6.14,4.31,2.18,98.76,231104
