PHASE,MAPE,MAE,ME,R,SAMPLES
GROUND,11.39,2.53,-0.08,93.92,21988
CLIMB,4.24,7.31,1.83,97.3,27856
CRUISE,4.94,4.35,1.26,85.0,144340
DESCENT,12.54,6.28,2.82,95.88,36920
ALL,6.68,4.84,1.45,98.47,231104
