PHASE,MAPE,MAE,ME,R,SAMPLES
GROUND,11.22,2.5,0.21,94.46,21988
CLIMB,3.96,6.66,2.96,98.27,27856
CRUISE,3.35,2.98,1.34,92.32,144340
DESCENT,12.29,6.05,3.16,96.26,36920
ALL,5.6,3.87,1.72,98.89,231104
