PHASE,MAPE,MAE,ME,R,SAMPLES
GROUND,11.49,2.55,-0.39,93.87,21988
CLIMB,4.42,7.58,2.91,97.2,27856
CRUISE,5.66,5.03,1.85,80.45,144340
DESCENT,13.72,6.91,3.19,95.5,36920
ALL,7.35,5.4,1.98,98.27,231104
