PHASE,MAPE,MAE,ME,R,SAMPLES
GROUND,9.33,0.82,0.25,87.83,506535
CLIMB,3.53,1.55,-1.18,97.73,1025388
CRUISE,3.83,1.04,-0.37,90.56,1104407
DESCENT,11.53,1.8,0.82,95.58,1486500
ALL,7.21,1.41,-0.07,98.85,4122830
