PHASE,MAPE,MAE,ME,R,SAMPLES
GROUND,9.33,0.82,0.25,87.83,506535
CLIMB,3.82,1.67,-1.19,97.22,1025388
CRUISE,6.49,1.76,-0.28,71.43,1104407
DESCENT,15.31,2.34,1.08,93.83,1486500
ALL,9.35,1.83,0.05,98.35,4122830
