PHASE,MAPE,MAE,ME,R,SAMPLES
GROUND,9.44,0.84,0.22,87.62,506535
CLIMB,3.29,1.44,-1.03,97.73,1025388
CRUISE,4.19,1.13,-0.44,89.35,1104407
DESCENT,11.49,1.8,0.68,95.45,1486500
ALL,7.25,1.41,-0.1,98.81,4122830
