PHASE,MAPE,MAE,ME,R,SAMPLES
GROUND,9.44,0.84,0.22,87.62,506535
CLIMB,3.51,1.52,-1.0,97.32,1025388
CRUISE,6.87,1.85,-0.4,68.45,1104407
DESCENT,15.4,2.36,0.98,93.59,1486500
ALL,9.42,1.83,0.02,98.3,4122830
