PHASE,MAPE,MAE,ME,R,SAMPLES
GROUND,17.93,4.79,3.48,47.11,23411
CLIMB,3.44,2.97,0.24,98.15,45878
CRUISE,4.21,1.68,-0.19,74.69,191392
DESCENT,10.69,2.26,0.56,97.77,69531
ALL,6.44,2.2,0.29,97.84,330212
