PHASE,MAPE,MAE,ME,R,SAMPLES
GROUND,18.24,4.82,3.39,47.01,23411
CLIMB,3.44,2.97,0.15,98.02,45878
CRUISE,4.59,1.84,-0.18,66.56,191392
DESCENT,12.22,2.58,0.62,97.24,69531
ALL,7.0,2.36,0.29,97.69,330212
