PHASE,MAPE,MAE,ME,R,SAMPLES
GROUND,18.18,4.79,3.27,47.13,23411
CLIMB,3.53,3.09,0.25,97.84,45878
CRUISE,4.53,1.8,-0.44,68.79,191392
DESCENT,11.48,2.38,0.07,97.57,69531
ALL,6.82,2.31,0.03,97.74,330212
