PHASE,MAPE,MAE,ME,R,SAMPLES
GROUND,18.42,4.81,3.13,47.0,23411
CLIMB,3.54,3.09,0.21,97.72,45878
CRUISE,4.97,1.98,-0.45,58.85,191392
DESCENT,13.31,2.72,0.05,96.98,69531
ALL,7.48,2.49,-0.0,97.57,330212
