PHASE,MAPE,MAE,ME,R,SAMPLES
GROUND,30.45,0.55,0.17,83.54,120822
CLIMB,2.93,0.4,0.22,97.07,267364
CRUISE,3.12,0.37,0.18,76.19,308753
DESCENT,8.29,0.65,0.07,96.38,361545
ALL,7.96,0.49,0.15,98.08,1058484
