PHASE,MAPE,MAE,ME,R,SAMPLES
GROUND,30.45,0.55,0.17,83.54,120822
CLIMB,2.88,0.39,0.17,96.76,267364
CRUISE,3.35,0.39,0.18,66.85,308753
DESCENT,9.87,0.8,0.2,94.83,361545
ALL,8.55,0.55,0.18,97.55,1058484
