PHASE,MAPE,MAE,ME,R,SAMPLES
GROUND,30.57,0.58,0.23,82.62,120822
CLIMB,2.71,0.37,0.25,97.3,267364
CRUISE,3.29,0.38,0.14,66.46,308753
DESCENT,9.75,0.8,0.28,94.95,361545
ALL,8.46,0.54,0.23,97.61,1058484
