PHASE,MAPE,MAE,ME,R,SAMPLES
GROUND,30.57,0.58,0.23,82.62,120822
CLIMB,2.79,0.39,0.3,97.67,267364
CRUISE,2.99,0.35,0.15,76.28,308753
DESCENT,8.1,0.64,0.14,96.46,361545
ALL,7.83,0.48,0.19,98.14,1058484
