PHASE,MAPE,MAE,ME,R,SAMPLES
GROUND,21.62,5.17,2.9,46.11,110831
CLIMB,3.52,3.12,-0.87,97.53,216795
CRUISE,5.05,2.0,-0.9,72.7,694341
DESCENT,12.87,2.52,-0.33,97.54,339203
ALL,8.1,2.56,-0.44,97.56,1361170
