PHASE,MAPE,MAE,ME,R,SAMPLES
GROUND,22.69,5.27,2.73,46.13,110831
CLIMB,3.59,3.15,-0.92,97.45,216795
CRUISE,5.58,2.21,-0.92,63.4,694341
DESCENT,14.8,2.9,-0.35,96.89,339203
ALL,8.96,2.78,-0.48,97.39,1361170
