PHASE,MAPE,MAE,ME,R,SAMPLES
GROUND,20.45,5.07,3.12,46.22,110831
CLIMB,3.32,2.91,-0.61,97.93,216795
CRUISE,4.46,1.77,-0.28,76.77,694341
DESCENT,11.7,2.35,0.27,97.69,339203
ALL,7.38,2.37,0.08,97.69,1361170
