PHASE,MAPE,MAE,ME,R,SAMPLES
GROUND,21.23,5.16,3.01,46.19,110831
CLIMB,3.37,2.93,-0.68,97.86,216795
CRUISE,4.98,1.99,-0.28,68.42,694341
DESCENT,13.36,2.69,0.32,97.08,339203
ALL,8.13,2.57,0.08,97.53,1361170
